0,interests=40,dataPkts=2148,reinf=0,task-Sleep,0,task-Diffuse,0,totalTracks=2143
1,interests=38,dataPkts=1141,reinf=62,task-Sleep,983,task-Diffuse,1416
2,interests=38,dataPkts=1094,reinf=60,task-Sleep,990,task-Diffuse,1409
3,interests=76,dataPkts=80,reinf=52,task-10-0,957,task-Sleep,1210,task-Diffuse,232
4,interests=46,dataPkts=1683,reinf=70,task-Sleep,714,task-Diffuse,1685
5,interests=28,dataPkts=193,reinf=60,task-10-0,1190,task-Sleep,915,task-Diffuse,294
6,interests=28,dataPkts=736,reinf=35,task-Sleep,1342,task-Diffuse,1057
7,interests=11,dataPkts=73,reinf=33,task-10-0,887,task-Sleep,1328,task-Diffuse,184
8,interests=37,dataPkts=171,reinf=26,task-10-0,516,task-Sleep,1643,task-Diffuse,240
