0,
1,task:Sleep,0.0task:Diffuse,0.0842
2,task:Sleep,0.0task:Diffuse,0.0842
3,task:Sleep,0.0task:Diffuse,0.0842
4,task:Sleep,0.0task:Diffuse,0.0842
5,task:10-0,2.49618129394446task:Sleep,0.0task:Diffuse,0.0842
6,task:Sleep,0.0task:Diffuse,0.0842
7,task:10-0,3.9063905918763635task:Sleep,0.0task:Diffuse,0.0842
8,task:10-0,6.326232893762576task:Sleep,0.0task:Diffuse,0.0842
9,task:Sleep,0.0task:Diffuse,0.0842
10,task:Sleep,0.0task:Diffuse,0.0842
11,task:Sleep,0.0task:Diffuse,0.0842
12,task:10-0,7.8406591491406665task:Sleep,0.0task:Diffuse,0.0842
13,task:Sleep,0.0task:Diffuse,0.0842
