0,interests=42,dataPkts=2050,reinf=0,task-Sleep,0,task-Diffuse,0,totalTracks=1981,lastTrackTime10796.724514185913
1,interests=106,dataPkts=1283,reinf=137,task-Sleep,835,task-Diffuse,1564
2,interests=106,dataPkts=1335,reinf=138,task-Sleep,850,task-Diffuse,1549
3,interests=138,dataPkts=724,reinf=127,task-Sleep,1246,task-Diffuse,1153
4,interests=138,dataPkts=1017,reinf=155,task-Sleep,1155,task-Diffuse,1244
5,interests=105,dataPkts=222,reinf=44,task-10-0,662,task-Sleep,1316,task-Diffuse,421
6,interests=103,dataPkts=356,reinf=54,task-Sleep,1478,task-Diffuse,921
7,interests=21,dataPkts=96,reinf=14,task-10-0,200,task-Sleep,1808,task-Diffuse,391
8,interests=122,dataPkts=208,reinf=66,task-10-0,870,task-Sleep,1163,task-Diffuse,366
9,interests=138,dataPkts=612,reinf=97,task-Sleep,1246,task-Diffuse,1153
10,interests=124,dataPkts=149,reinf=183,task-10-0,1571,task-Sleep,716,task-Diffuse,112
11,interests=105,dataPkts=214,reinf=86,task-10-0,1114,task-Sleep,972,task-Diffuse,313
12,interests=105,dataPkts=200,reinf=67,task-10-0,735,task-Sleep,1253,task-Diffuse,411
13,interests=138,dataPkts=1007,reinf=154,task-Sleep,1208,task-Diffuse,1191
