0,interests=107,dataPkts=1069,reinf=0,task-Sleep,0,task-Diffuse,0,totalTracks=1011,lastTrackTime10266.708978057566
1,interests=223,dataPkts=616,reinf=93,task-Sleep,2459,task-Diffuse,1540
2,interests=216,dataPkts=848,reinf=106,task-Sleep,2412,task-Diffuse,1587
3,interests=267,dataPkts=504,reinf=78,task-Sleep,2497,task-Diffuse,1502
4,interests=267,dataPkts=554,reinf=97,task-Sleep,2659,task-Diffuse,1340
5,interests=183,dataPkts=411,reinf=96,task-10-0,919,task-Sleep,2291,task-Diffuse,789
6,interests=217,dataPkts=780,reinf=82,task-Sleep,2476,task-Diffuse,1523
7,interests=47,dataPkts=654,reinf=62,task-10-0,286,task-Sleep,2642,task-Diffuse,1071
8,interests=216,dataPkts=387,reinf=98,task-10-0,1017,task-Sleep,2272,task-Diffuse,710
9,interests=235,dataPkts=1030,reinf=187,task-Sleep,2290,task-Diffuse,1709
10,interests=298,dataPkts=455,reinf=155,task-10-0,998,task-Sleep,2285,task-Diffuse,716
11,interests=183,dataPkts=265,reinf=123,task-10-0,1230,task-Sleep,2260,task-Diffuse,509
12,interests=183,dataPkts=294,reinf=73,task-10-0,952,task-Sleep,2244,task-Diffuse,803
13,interests=235,dataPkts=1138,reinf=186,task-Sleep,2254,task-Diffuse,1745
