Sun Sep 06 15:43:23 CDT 2009,DIRL,0,0,0.061034767747883446,0.20565960093474134,695.1629077848387,215
Sun Sep 06 15:44:13 CDT 2009,SORA,0,0,0.05109885853233565,0.19721972738468685,482.01740770705754,164
Sun Sep 06 15:44:55 CDT 2009,RANDOM,0,0,0.01128252978803809,0.36895140834402806,238.15342957524106,113
Sun Sep 06 15:45:05 CDT 2009,COIN,166,166,0.02032202567095545,0.14195182897581266,1358.4692555283048,235
Sun Sep 06 15:45:06 CDT 2009,TEAM,217,217,0.03240706857042693,0.4672237205166694,532.8383610578828,286
Sun Sep 06 16:57:22 CDT 2009,DIRL,0,0,0.07150136588846488,0.20960884223040283,1013.5825638930257,341
Sun Sep 06 16:57:23 CDT 2009,RANDOM,0,0,0.011469239902243739,0.36895140834402806,294.6987498326635,163
Sun Sep 06 16:57:28 CDT 2009,COIN,161,160,0.019902864436330013,0.13013313414683492,1705.4432304912486,319
Sun Sep 06 16:57:31 CDT 2009,TEAM,235,235,0.036130000202836896,0.47089486862577884,658.7298880983882,421
Fri Sep 25 10:33:01 CDT 2009,DIRL,0,0,0.06375643748290832,0.22023320323623005,923.7935794590852,347
Fri Sep 25 10:33:05 CDT 2009,RANDOM,0,0,0.0053414771392641764,0.36895140834402806,172.99271847312377,140
Fri Sep 25 10:33:05 CDT 2009,SORA,0,0,0.0010241967465892418,0.022599342080133818,5263.242590006558,303
Fri Sep 25 10:33:18 CDT 2009,TEAM,15,12,0.004090277251589173,0.9381322429884861,169.23312146493217,171
Fri Sep 25 10:33:21 CDT 2009,COIN,10,8,0.050990278225059645,0.2136358328878487,961.1526882994466,332
Fri Sep 25 10:50:11 CDT 2009,COIN,5,3,0.030735687263423073,0.15617126412465526,1438.0114267415204,413
Fri Sep 25 10:50:23 CDT 2009,DIRL,0,0,0.07397764271682514,0.22471104192755145,852.2647095484265,354
Fri Sep 25 10:50:29 CDT 2009,TEAM,16,12,0.008442193578368805,1.0538182592438492,53.77644548788324,60
Fri Sep 25 10:50:43 CDT 2009,SORA,0,0,0.05318391950695609,0.1416288682691923,627.9011777506768,308
Fri Sep 25 10:50:46 CDT 2009,RANDOM,0,0,0.0053414771392641764,0.36895140834402806,172.99271847312377,140
Sun Sep 27 15:47:55 CDT 2009,RANDOM,0,0,0.004627227608875428,0.36895140834402806,101.72644682276879,111
Sun Sep 27 15:47:58 CDT 2009,DIRL,0,0,0.05822596878286372,0.21416051514841514,384.8279447364215,167
Sun Sep 27 15:47:58 CDT 2009,SORA,0,0,0.12855367224947378,0.3107498503903059,555.8568013416186,155
Sun Sep 27 15:48:14 CDT 2009,TEAM,37,28,0.005445072632083485,0.8637901419817334,71.40321968689331,71
Sun Sep 27 15:48:21 CDT 2009,COIN,159,155,0.03598696977295414,0.17163231115198127,453.1098039836225,173
Sun Sep 27 15:56:02 CDT 2009,COIN,170,165,0.02522968704460199,0.1382377321333901,764.314934989634,180
Sun Sep 27 15:59:21 CDT 2009,RANDOM,0,0,0.004627227608875428,0.36895140834402806,101.72644682276879,111
Sun Sep 27 15:59:27 CDT 2009,SORA,0,0,0.07796706128711581,0.22019971871091945,494.27995456503277,172
Sun Sep 27 15:59:30 CDT 2009,DIRL,0,0,0.07302605341284325,0.23918673868992502,435.72853789764406,180
Sun Sep 27 15:59:34 CDT 2009,TEAM,40,30,0.04081663296827061,0.8541377360366275,92.13041109425454,117
Sun Sep 27 15:59:35 CDT 2009,COIN,148,146,0.01023843229510907,0.14707277838014451,575.2808201834188,160
Sat Oct 10 17:36:08 CDT 2009,COIN,200,199,0.022811883402094942,0.12278350402586696,2781.5654990369067,179
Sat Oct 10 17:40:38 CDT 2009,COIN,165,164,0.03542461986132518,0.2070514310065392,917.2931606785781,166
Sat Oct 10 17:52:01 CDT 2009,SORA,0,0,0.09355318982465434,0.24396282037697067,442.96432930109296,185
Sat Oct 10 17:53:54 CDT 2009,COIN,9,7,0.04036036939532512,0.14872655310197927,469.62508031526005,122
Sat Oct 10 18:00:25 CDT 2009,COIN,4,4,0.06273395647577484,0.20927872169858183,376.636499928431,172
Sat Oct 10 18:08:10 CDT 2009,COIN,4,4,0.05909332350854537,0.20405203364859015,449.74136950121135,187
Sat Oct 10 18:10:07 CDT 2009,SORA,0,0,0.13591993958285617,0.3245670828846797,559.5694655651138,170
Sat Oct 10 18:22:26 CDT 2009,SORA,0,0,0.0915298134706017,0.24326134193009635,417.74219544509066,182
Sat Oct 10 18:24:10 CDT 2009,COIN,1,1,0.04223937511886982,0.15405054992344577,581.5861193392137,164
Sun Oct 11 11:19:04 CDT 2009,SORA,0,0,1.3589955674729828E-4,0.034441378613502306,3.252054327916832,19
Sun Oct 11 11:19:20 CDT 2009,DIRL,0,0,1.5221372563408667E-4,0.11421242825608595,3.654627909848626,20
Sun Oct 11 11:19:22 CDT 2009,RANDOM,0,0,9.256311051265525E-5,0.36895140834402806,2.0824587388808244,19
Sun Oct 11 11:19:29 CDT 2009,COIN,1,1,1.7646910204219903E-4,0.11110381289743976,4.641725819727059,25
Sun Oct 11 11:19:36 CDT 2009,TEAM,5,3,1.7564534254400194E-4,0.9182737324953104,3.3776549284733015,20
