0,interests=104,dataPkts=1575,reinf=0,task-Sleep,0,task-Diffuse,0,totalTracks=1491,lastTrackTime10661.708132834869
1,interests=256,dataPkts=1422,reinf=103,task-Sleep,2260,task-Diffuse,1739
2,interests=277,dataPkts=989,reinf=117,task-Sleep,2293,task-Diffuse,1706
3,interests=349,dataPkts=807,reinf=173,task-Sleep,2368,task-Diffuse,1631
4,interests=349,dataPkts=1044,reinf=187,task-Sleep,2321,task-Diffuse,1678
5,interests=269,dataPkts=246,reinf=73,task-10-0,1144,task-Sleep,2255,task-Diffuse,600
6,interests=267,dataPkts=380,reinf=73,task-Sleep,2758,task-Diffuse,1241
7,interests=49,dataPkts=201,reinf=24,task-10-0,317,task-Sleep,2915,task-Diffuse,767
8,interests=314,dataPkts=236,reinf=77,task-10-0,975,task-Sleep,2256,task-Diffuse,768
9,interests=349,dataPkts=938,reinf=124,task-Sleep,2390,task-Diffuse,1609
10,interests=309,dataPkts=227,reinf=153,task-10-0,1662,task-Sleep,2098,task-Diffuse,239
11,interests=249,dataPkts=296,reinf=121,task-10-0,1161,task-Sleep,2234,task-Diffuse,604
12,interests=249,dataPkts=218,reinf=64,task-10-0,1223,task-Sleep,2221,task-Diffuse,555
13,interests=349,dataPkts=1144,reinf=181,task-Sleep,2370,task-Diffuse,1629
