0,
1,task:Sleep,-1.1428571428571429E-5,1.1352031598939277E-4,0.0,0.0,task:Diffuse,-8.752857142857145E-5,0.017116746406146046,0.0,0.0,
2,task:Sleep,-1.1428571428571427E-5,0.01720183164424449,0.0,0.0,task:Diffuse,-8.752857142633395E-5,-6.079020042734009E-5,0.0,0.0,
3,task:Sleep,-1.1428571428571429E-5,0.01704017079861811,0.0,0.0,task:Diffuse,-8.752857142857145E-5,-6.856594599478703E-6,0.0,0.0,
4,task:Sleep,-1.1428571428571427E-5,0.017259966444976727,0.0,0.0,task:Diffuse,-8.752857142856974E-5,-5.4346952853792625E-5,0.0,0.0,
5,task:10-0,3.020329730956288,-0.0155589797707586,-0.8538281406946158,-Infinity,task:Sleep,0.0016075715283216632,0.015751052177494968,3.0265058887637953E-4,-1.1428571428571429E-5,task:Diffuse,0.028823851710513014,-3.478304452286895E-5,4.355923312730642E-6,-8.752857143730571E-5,
6,task:Sleep,-1.1428571428571427E-5,4.361590315689579E-5,0.0,0.0,task:Diffuse,-8.752857142857073E-5,0.017082008223060167,0.0,0.0,
7,task:10-0,-1.7707369201249197,-0.9452988025690534,-0.12263764637952704,1.5301026343076773,task:Sleep,-1.1428571428571429E-5,-1.953589745449609E-6,-6.4E-6,-6.4E-6,task:Diffuse,-8.75285724887388E-5,-5.504799252492309E-5,2.927292166246356,-6.728E-5,
8,task:10-0,8.664096083657835,-0.11009425835085,-Infinity,-1.8538367224315222,task:Sleep,-1.1428571432877897E-5,4.8423970872225144E-8,-1.1428571428571429E-5,-1.0888119113373954E-5,task:Diffuse,-8.76230399026561E-5,-6.407369806849641E-6,-8.752857142857145E-5,-6.574004227097306E-5,
9,task:Sleep,-1.1428571428571429E-5,0.017133948734133514,0.0,0.0,task:Diffuse,-8.752857142857145E-5,-3.0845233261550477E-6,0.0,0.0,
10,task:Sleep,-1.1428571428571427E-5,0.017121123280264137,0.0,0.0,task:Diffuse,-8.752857142857143E-5,-6.519793632462705E-5,0.0,0.0,
11,task:Sleep,-1.1428571428571427E-5,0.017121656945199206,0.0,0.0,task:Diffuse,-8.752857142711092E-5,-2.3009462386633637E-5,0.0,0.0,
12,task:10-0,5.818667206436895,-0.02856999612415653,-Infinity,-0.07287669939054271,task:Sleep,-1.1428571428571427E-5,-1.134238521019123E-5,-1.1428571428571429E-5,0.018034840272798027,task:Diffuse,-8.664975871525199E-5,-4.443872670841594E-5,-8.75285714732268E-5,-2.512200446729867E-5,
13,task:Sleep,-1.1428571428571427E-5,4.3287129402816175E-5,0.0,0.0,task:Diffuse,-8.752857142857142E-5,0.017073880928652196,0.0,0.0,
