Sun Oct 17 15:58:32 CDT 2010,DIRL,0,1,8,1193,0,0,0,task-Sleep,479,task-Diffuse,1120,11.211018539920175,null
Sun Oct 17 15:58:32 CDT 2010,DIRL,0,2,8,1266,0,0,0,task-Sleep,466,task-Diffuse,1133,11.016696348690262,null
Sun Oct 17 15:58:32 CDT 2010,DIRL,0,3,4,1358,0,0,0,task-Sleep,491,task-Diffuse,1108,11.011525888485286,null
Sun Oct 17 15:58:32 CDT 2010,DIRL,0,4,2,164,0,0,3,task-10-0,164,task-Sleep,1271,task-Diffuse,164,23.00700972360826,null
Sun Oct 17 15:58:32 CDT 2010,DIRL,0,5,9,1355,0,0,111,task-10-0,1356,task-Sleep,193,task-Diffuse,50,6.729800995774387,null
Sun Oct 17 15:58:32 CDT 2010,DIRL,0,6,7,1354,0,0,104,task-10-0,1355,task-Sleep,184,task-Diffuse,60,6.991815905373419,null
Sun Oct 17 15:58:32 CDT 2010,DIRL,0,7,7,1345,0,0,101,task-10-0,1346,task-Sleep,190,task-Diffuse,63,7.080868147594234,null
Sun Oct 17 15:58:32 CDT 2010,DIRL,0,8,11,174,0,0,3,task-10-0,174,task-Sleep,1266,task-Diffuse,159,22.438766568611044,null
Sun Oct 17 15:58:32 CDT 2010,DIRL,0,9,7,163,0,0,2,task-10-0,163,task-Sleep,1285,task-Diffuse,151,23.09997114221667,null
Sun Oct 17 15:58:32 CDT 2010,DIRL,0,10,7,154,0,0,1,task-10-0,155,task-Sleep,1286,task-Diffuse,158,93.12479019936082,null
Sun Oct 17 15:58:32 CDT 2010,DIRL,0,11,11,150,0,0,2,task-10-0,150,task-Sleep,1283,task-Diffuse,166,92.68104561410225,null
Sun Oct 17 15:58:32 CDT 2010,DIRL,0,12,7,155,0,0,2,task-10-0,155,task-Sleep,1276,task-Diffuse,168,92.96509488618504,null
Sun Oct 17 16:03:58 CDT 2010,DIRL,0,1,1,1202,0,0,0,task-Sleep,512,task-Diffuse,1087,11.699701113748604,null
Sun Oct 17 16:03:58 CDT 2010,DIRL,0,2,12,1393,0,0,0,task-Sleep,532,task-Diffuse,1067,11.619827998308807,null
Sun Oct 17 16:03:58 CDT 2010,DIRL,0,3,8,1048,0,0,0,task-Sleep,511,task-Diffuse,1088,11.686341621938084,null
Sun Oct 17 16:03:58 CDT 2010,DIRL,0,4,7,183,0,0,4,task-10-0,183,task-Sleep,1243,task-Diffuse,173,22.603799117649526,null
Sun Oct 17 16:03:58 CDT 2010,DIRL,0,5,11,1334,0,0,130,task-10-0,1335,task-Sleep,199,task-Diffuse,65,6.825013558738028,null
Sun Oct 17 16:03:58 CDT 2010,DIRL,0,6,7,1332,0,0,102,task-10-0,1333,task-Sleep,197,task-Diffuse,69,7.183913731674345,null
Sun Oct 17 16:03:58 CDT 2010,DIRL,0,7,7,1334,0,0,92,task-10-0,1335,task-Sleep,197,task-Diffuse,67,7.191455921214619,null
Sun Oct 17 16:03:58 CDT 2010,DIRL,0,8,11,171,0,0,2,task-10-0,171,task-Sleep,1265,task-Diffuse,163,22.430583178351466,null
Sun Oct 17 16:03:58 CDT 2010,DIRL,0,9,7,162,0,0,2,task-10-0,162,task-Sleep,1280,task-Diffuse,157,23.029086638976985,null
Sun Oct 17 16:03:58 CDT 2010,DIRL,0,10,7,151,0,0,1,task-10-0,151,task-Sleep,1291,task-Diffuse,157,93.19111363963754,null
Sun Oct 17 16:03:58 CDT 2010,DIRL,0,11,11,137,0,0,1,task-10-0,137,task-Sleep,1319,task-Diffuse,143,93.22795969351861,null
Sun Oct 17 16:03:59 CDT 2010,DIRL,0,12,7,148,0,0,1,task-10-0,148,task-Sleep,1303,task-Diffuse,148,93.36204644539693,null
Sun Oct 17 16:04:50 CDT 2010,DIRL,0,1,66,1202,0,1,1,task-Sleep,843,task-Diffuse,1156,10.103583760139205,null
