0,0,0,0,51,2,0,1,0,0,0,0.0,0.0,0.025961339404663417,51
1,0,0,9,40,2,113,1,89,0,797,0.3126218448515204,2.2975781551484826,0.025961339404663417
2,0,0,4,24,2,111,1,89,0,799,0.31354236246972844,1.3704576375302704,0.025961339404663417
3,0,0,0,0,2,110,1,87,0,802,0.3149163879373156,-0.3149163879373156,0.025961339404663417
4,0,0,0,0,2,113,1,92,0,794,0.31171048817712194,-0.31171048817712194,0.025961339404663417
5,468,496,1,13,2,76,1,58,0,865,0.3442716732483038,0.6896763267516964,0.025961339404663417
6,0,0,12,37,2,109,1,87,0,803,0.3153775985346069,1.7896224014653956,0.025961339404663417
7,0,0,0,0,2,113,1,93,0,793,0.3107999590584583,-0.3107999590584583,0.025961339404663417
8,0,0,0,0,2,113,1,89,0,797,0.31262184436837015,-0.31262184436837015,0.025961339404663417
9,487,500,0,0,2,42,1,22,0,935,0.3779155487457289,-0.36698254874572916,0.025961339404663417
10,405,441,0,0,2,92,1,77,0,830,0.3283363416868239,-0.2980603416868238,0.025961339404663417
11,0,0,0,0,2,107,1,87,0,805,0.31630065712432354,-0.31630065712432354,0.025961339404663417
12,0,0,0,0,2,118,1,98,0,783,0.30623904640977645,-0.30623904640977645,0.025961339404663417
13,0,0,0,0,2,113,1,93,0,793,0.3107999602814529,-0.3107999602814529,0.025961339404663417
