Time,ALGORITHM,No Of Nodes,NID,#Tracks,Last Track,Avg Delay,Total Energy Used, Lowest Life Node, Target Moving?,#REF!
Fri Jan 01 15:31:14 CST 2010,DIFFUSION,15,0,1018,7032.913553,0.444468196,308.8982909,3:7025.6:24.996996716232594,FALSE,
Fri Jan 01 15:44:06 CST 2010,DIFFUSION,15,0,974,4970.808126,0.501923412,283.4310162,3:4950.6:24.979385219236356,TRUE,
Fri Jan 01 15:47:11 CST 2010,DIRL,20,0,1940,11691.2072,0.023828276,338.4979913,18:8407.1:24.988969476301296,FALSE,
Fri Jan 01 15:47:27 CST 2010,DIRL,20,0,1170,14931.22058,0.037786058,392.0173622,18:13257.1:24.993455352257527,TRUE,
Fri Jan 01 15:54:50 CST 2010,DIFFUSION,20,0,933,5633.588421,0.447561276,401.0728703,4:5605.7:24.983251016155354,FALSE,
Fri Jan 01 17:03:36 CST 2010,DIFFUSION,20,0,567,2901.669029,11.94344992,416.6470518,6:2460.9:24.982556001936782,TRUE,
Higher Energy 3 nodes,,,,,,,,,,
Fri Jan 01 16:03:16 CST 2010,DIRL,10,0,1894,13206.21781,0.04524179,228.1044593,8:10336.1:24.991978465143575,TRUE,
Fri Jan 01 17:06:30 CST 2010,DIFFUSION,10,0,1260,7119.244693,0.012474731,194.5773247,8:7011.1:24.984276688131533,FALSE,
Fri Jan 01 16:10:00 CST 2010,DIFFUSION,10,0,1925,12989.7291,0.539122925,266.9889688,3:5675.6:24.97986835856326,TRUE,
Fri Jan 01 17:23:30 CST 2010,DIRL,15,0,1341,11206.7105,0.056803023,275.9791278,12:10276.5:24.994458461486598,FALSE,
Fri Jan 01 17:23:37 CST 2010,DIRL,15,0,1676,10651.70959,0.056539223,276.0073701,12:8256.5:24.9867004976439,FALSE,
Fri Jan 01 17:28:08 CST 2010,DIFFUSION,15,0,1036,5960.773068,0.035224848,304.0738285,8:5946.1:24.987298545424316,FALSE,
Fri Jan 01 17:28:17 CST 2010,DIFFUSION,15,0,1036,5960.773068,0.035224848,304.0738285,8:5946.1:24.987298545424316,FALSE,
Higher Energy 2 nodes,,,,,,,,,,
Fri Jan 01 16:34:11 CST 2010,DIRL,10,0,1713,10466.2072,0.052306006,189.136932,5:10135.8:24.99873460729623,TRUE,
Fri Jan 01 10:07:09 CST 2010,DIRL,10,0,1508,9166.213902,0.060022496,166.4977214,8:8691.1:25.0,FALSE,
Fri Jan 01 14:21:06 CST 2010,DIRL,10,0,1459,8311.210664,0.037337963,157.8770322,8:9266.1:24.99957147198724,FALSE,
Fri Jan 01 16:40:21 CST 2010,DIFFUSION,10,0,1155,5833.207198,0.008093813,194.4870644,8:5511.1:24.98250542941479,TRUE,
Higher Energy 1 node,,,,,,,,,,
Fri Jan 01 16:03:50 CST 2010,DIRL,10,0,2525,13991.21368,0.036013919,236.374168,8:10241.1:24.985704376143737,FALSE,
Fri Jan 01 17:05:48 CST 2010,DIRL,10,0,1699,10126.21088,0.040320781,189.7900711,5:10055.8:24.994658365716077,TRUE,
Fri Jan 01 16:35:39 CST 2010,DIRL,10,0,1573,9386.207198,0.051195473,169.0335061,8:8601.1:24.996547069807754,FALSE,
After Changing Cost Param,,,,,,,,,,
Fri Jan 01 17:04:27 CST 2010,DIRL,10,0,1603,10041.21431,0.030799667,179.9823222,8:8951.1:24.99135075773024,FALSE,
Fri Jan 01 19:05:25 CST 2010,DIRL,10,0,1332,9051.207198,0.027299796,191.9694265,4:6990.7:24.988312433383623,TRUE,
Fri Jan 01 19:25:33 CST 2010,DIRL,10,0,1269,8471.211681,0.06273524,191.6727222,4:6810.7:24.994792177291533,TRUE,
Fri Jan 01 19:31:07 CST 2010,DIFFUSION,10,0,988,4996.207198,0.007679357,190.1052409,4:4905.7:24.976284930193387,TRUE,
