0,interests=96,dataPkts=2001,reinf=0,task-Sleep,0,task-Diffuse,0,totalTracks=1886,lastTrackTime11516.707197999996
1,interests=162,dataPkts=541,reinf=64,task-Sleep,1344,task-Diffuse,1055
2,interests=162,dataPkts=530,reinf=50,task-Sleep,1413,task-Diffuse,986
3,interests=215,dataPkts=856,reinf=151,task-Sleep,991,task-Diffuse,1408
4,interests=215,dataPkts=1023,reinf=189,task-Sleep,896,task-Diffuse,1503
5,interests=135,dataPkts=151,reinf=40,task-10-0,406,task-Sleep,1276,task-Diffuse,717
6,interests=134,dataPkts=672,reinf=99,task-Sleep,1322,task-Diffuse,1077
7,interests=20,dataPkts=143,reinf=54,task-10-0,785,task-Sleep,1270,task-Diffuse,344
8,interests=152,dataPkts=197,reinf=84,task-10-0,877,task-Sleep,966,task-Diffuse,556
9,interests=215,dataPkts=636,reinf=131,task-Sleep,969,task-Diffuse,1430
10,interests=162,dataPkts=701,reinf=95,task-Sleep,1112,task-Diffuse,1287
11,interests=162,dataPkts=752,reinf=93,task-Sleep,1191,task-Diffuse,1208
12,interests=135,dataPkts=202,reinf=127,task-10-0,1202,task-Sleep,865,task-Diffuse,332
13,interests=215,dataPkts=863,reinf=172,task-Sleep,851,task-Diffuse,1548
